K2-285 b,9.68,2.59,0.038,3.47
K2-285 c,15.68,3.53,0.082,7.14
K2-285 d,6.50,2.48,0.118,10.46
K2-285 e,10.70,1.95,0.180,14.76
K2-287 b,100.12,9.49,0.121,14.89
K2-290 b,10.90,3.06,0.092,9.21
K2-290 c,246.00,11.28,0.305,48.37
K2-291 b,6.49,1.59,0.033,2.23
K2-292 b,24.50,2.63,0.130,16.98
K2-295 b,106.47,10.05,0.045,4.02
K2-30 b,198.32,13.41,0.050,4.10
K2-34 b,565.73,15.13,0.044,3.00
K2-355 b,5.69,2.25,0.063,5.74
K2-356 b,5.85,2.29,0.160,21.03
K2-357 b,13.35,3.72,0.145,16.35
K2-358 b,7.66,2.68,0.086,11.25
K2-36 b,3.90,1.43,0.022,1.42
K2-36 c,7.80,3.19,0.054,5.34
K2-39 b,39.73,8.18,0.062,4.61
K2-60 b,135.39,7.66,0.045,3.00
K2-66 b,21.30,2.49,0.060,5.07
KELT-10 b,215.81,15.68,0.052,4.17
KELT-11 b,61.98,15.36,0.062,4.74
KELT-12 b,301.94,20.06,0.067,5.03
KELT-15 b,289.22,16.17,0.046,3.33
KELT-16 b,874.03,15.86,0.020,0.97
KELT-17 b,416.36,17.09,0.049,3.08
KELT-18 b,375.04,17.60,0.045,2.87
KELT-19 A b,1293.56,21.41,0.064,4.61
KELT-21 b,1242.71,17.78,0.052,3.61
KELT-23 A b,298.12,14.83,0.033,2.26
KELT-24 b,1646.35,14.26,0.070,5.55
KELT-2A b,484.37,14.46,0.055,4.11
KELT-3 b,464.67,15.22,0.041,2.70
KELT-6 b,140.48,13.23,0.080,7.85
KELT-7 b,406.82,17.18,0.044,2.73
KELT-8 b,275.56,20.85,0.046,3.24
Kepler-100 b,7.34,1.35,0.073,6.89
Kepler-101 b,51.17,5.77,0.047,3.49
Kepler-10 b,3.24,1.50,0.017,0.84
Kepler-10 c,7.37,2.40,0.241,45.29
Kepler-117 c,584.80,12.34,0.280,50.79
Kepler-117 b,29.88,8.06,0.144,18.80
Kepler-11 b,1.90,1.84,0.091,10.30
Kepler-11 c,2.87,2.93,0.107,13.02
Kepler-11 d,7.30,3.18,0.155,22.68
Kepler-11 e,8.00,4.27,0.195,32.00
Kepler-11 f,2.00,2.53,0.250,46.69
Kepler-129 b,20.00,2.40,0.130,15.79
Kepler-129 d,2637.98,12.55,4.000,2646.00
Kepler-129 c,43.00,2.52,0.390,82.20
Kepler-12 b,136.67,19.62,0.056,4.44
Kepler-13 A b,2949.45,16.93,0.034,1.76
Kepler-1514 b,1678.13,12.42,0.753,217.83
Kepler-15 b,209.77,10.76,0.057,4.94
Kepler-1654 b,158.91,9.18,2.026,1047.84
Kepler-1655 b,5.00,2.21,0.103,11.87
Kepler-1656 b,48.60,5.02,0.197,31.58
Kepler-1658 b,1868.83,11.99,0.054,3.85
Kepler-1661 b,17.00,3.87,0.633,175.06
Kepler-16 (AB) b,105.84,8.45,0.705,228.78
Kepler-1704 b,1318.99,11.94,2.026,988.88
Kepler-1705 b,4.47,2.03,0.080,9.04
Kepler-1705 c,5.42,2.05,0.042,11.28
Kepler-17 b,785.04,14.91,0.026,1.49
Kepler-18 b,6.90,2.01,0.045,3.50
Kepler-18 c,17.16,5.49,0.075,7.64
Kepler-18 d,16.53,6.95,0.117,14.86
Kepler-20 b,8.58,1.91,0.045,3.70
Kepler-20 c,16.21,3.03,0.093,10.85
Kepler-20 d,19.07,2.80,0.345,77.61
Kepler-289 b,7.31,2.15,0.210,34.55
PH3 c,4.13,2.68,0.330,66.06
Kepler-289 c,131.90,11.59,0.510,125.85
Kepler-324 b,1.55,1.14,0.050,4.39
Kepler-324 d,2.23,1.13,0.195,34.17
Kepler-324 c,10.08,3.15,0.260,51.81
Kepler-338 b,30.61,2.49,0.116,13.73
Kepler-338 e,8.58,1.56,0.090,9.34
Kepler-33 c,0.80,3.27,0.119,13.18
Kepler-33 d,4.70,5.46,0.166,21.78
Kepler-33 e,6.70,4.11,0.214,31.78
Kepler-33 f,11.50,4.56,0.254,41.03
Kepler-34 (AB) b,69.92,8.56,1.090,288.82
Kepler-35 (AB) b,40.36,8.16,0.603,131.46
Kepler-36 b,4.28,1.54,0.115,13.84
Kepler-36 c,8.08,3.76,0.128,16.24
Kepler-411 c,26.40,4.42,0.074,7.83
Kepler-411 b,25.60,2.40,0.037,3.01
Kepler-411 d,15.20,3.32,0.279,58.02
Kepler-412 b,298.44,14.85,0.030,1.72
Kepler-41 b,177.98,11.66,0.031,1.86
Kepler-422 b,136.67,12.89,0.082,7.89
Kepler-424 b,327.36,9.98,0.044,3.31
Kepler-434 b,908.99,12.67,0.114,12.87
Kepler-447 b,435.42,18.49,0.077,7.79
Kepler-44 b,317.83,12.22,0.045,3.25
Kepler-454 b,6.84,2.37,0.095,10.57
Kepler-45 b,160.50,10.76,0.027,2.46
Kepler-47 (AB) d,19.02,7.04,0.699,187.37
Kepler-4 b,24.47,4.00,0.046,3.21
Kepler-503 b,25108.44,10.76,0.079,7.26
Kepler-50 b,5.07,1.75,0.077,7.81
Kepler-50 c,8.28,2.22,0.087,9.38
Kepler-51 b,2.10,7.10,0.251,45.15
Kepler-51 c,4.00,9.00,0.384,85.31
Kepler-51 d,7.60,9.70,0.509,130.19
Kepler-538 b,10.60,2.22,0.467,81.74
Kepler-56 b,22.09,6.51,0.103,10.51
Kepler-56 c,180.84,9.80,0.165,21.40
Kepler-5 b,671.89,16.04,0.051,3.55
Kepler-60 b,4.10,2.20,0.075,7.13
Kepler-60 c,4.80,2.38,0.087,8.92
Kepler-60 d,3.81,2.60,0.105,11.90
Kepler-68 b,8.26,2.31,0.062,5.40
Kepler-68 c,4.77,0.95,0.091,9.61
Kepler-6 b,212.95,14.57,0.046,3.23
Kepler-74 b,200.23,10.76,0.078,7.34
Kepler-75 b,3210.07,11.77,0.082,8.88
Kepler-77 b,136.67,10.76,0.045,3.58
Kepler-7 b,139.84,18.16,0.062,4.89
Kepler-80 b,6.93,2.66,0.065,7.05
Kepler-80 c,6.74,2.74,0.079,9.52
Kepler-80 d,6.75,1.53,0.037,3.07
Kepler-80 e,4.13,1.68,0.049,4.64
Kepler-82 b,12.15,4.07,0.168,26.44
Kepler-82 c,13.90,5.34,0.263,51.54
Kepler-87 b,324.18,13.45,0.471,114.73
Kepler-87 c,6.40,6.27,0.664,192.36
Kepler-89 b,10.50,1.75,0.051,3.74
